prov_fall;cant_fall;parr_fall;codigo
Azuay;Camilo Ponce Enriquez;Camilo Ponce Enriquez;11550
Azuay;Chordeleg;Chordeleg;11150
Azuay;Cuenca;Banos;10151
Azuay;Cuenca;Cuenca;10150
Azuay;Cuenca;El Batan;10103
Azuay;Cuenca;El Vecino;10105
Azuay;Cuenca;Huaynacapac;10107
Azuay;Cuenca;Molleturo;10157
Azuay;Cuenca;Monay;10109
Azuay;Cuenca;Nulti;10158
Azuay;Cuenca;Paccha;10160
Azuay;Cuenca;Quingeo;10161
Azuay;Cuenca;San Blas;10110
Azuay;Cuenca;San Sebastian;10111
Azuay;Cuenca;Santa Ana;10164
Azuay;Cuenca;Sayausi;10165
Azuay;Cuenca;Sinincay;10167
Azuay;Cuenca;Sucre;10112
Azuay;Cuenca;Tarqui;10168
Azuay;Cuenca;Turi;10169
Azuay;Cuenca;Valle;10170
Azuay;Cuenca;Victoria Del Portete;10171
Azuay;Cuenca;Yanuncay;10114
Azuay;Giron;Giron;10250
Azuay;Gualaceo;Gualaceo;10350
Azuay;Gualaceo;Jadan;10353
Azuay;Gualaceo;San Juan;10357
Azuay;Nabon;Nabon;10450
Azuay;Paute;El Cabo;10554
Azuay;Paute;Guarainag;10556
Azuay;Paute;Paute;10550
Azuay;Paute;San Cristobal (Carlos Ordonez Lazo);10559
Azuay;Paute;Tomebamba;10561
Azuay;Pucara;San Rafael De Sharug;10652
Azuay;Santa Isabel;Abdon Calderon (La Union);10851
Azuay;Santa Isabel;Santa Isabel (Chaguarurco);10850
Azuay;Sigsig;Sigsig;10950
Bolivar;Caluma;Caluma;20650
Bolivar;Chillanes;Chillanes;20250
Bolivar;Chimbo;San Jose De Chimbo;20350
Bolivar;Echeandia;Echeandia;20450
Bolivar;Guaranda;Angel Polibio Chavez;20101
Bolivar;Guaranda;Gabriel Ignacio Veintimilla;20102
Bolivar;Guaranda;Guanujo;20152
Bolivar;Guaranda;Guaranda;20150
Bolivar;Guaranda;Julio E. Moreno (Catanahuan Grande);20153
Bolivar;Guaranda;Salinas;20155
Bolivar;Guaranda;San Luis De Pambil;20160
Bolivar;Guaranda;Santafe (Santa Fe);20158
Bolivar;Las Naves;Las Mercedes;20701
Bolivar;Las Naves;Las Naves;20750
Bolivar;San Miguel;Balsapamba;20551
Bolivar;San Miguel;San Miguel;20550
Canar;Azogues;Aurelio Bayas Martinez;30101
Canar;Azogues;Azogues;30150
Canar;Azogues;Borrero;30103
Canar;Azogues;Cojitambo;30151
Canar;Azogues;Javier Loyola (Chuquipata);30154
Canar;Azogues;Luis Cordero;30155
Canar;Biblian;Biblian;30250
Canar;Biblian;Nazon (Cab. En Pampa De Dominguez);30251
Canar;Canar;Canar;30350
Canar;Canar;Honorato Vasquez (Tambo Viejo);30355
Canar;Canar;Ingapirca;30356
Canar;Canar;San Antonio;30358
Canar;Canar;Ventura;30362
Canar;Canar;Zhud;30361
Canar;El Tambo;El Tambo;30550
Canar;La Troncal;La Troncal;30450
Canar;La Troncal;Manuel J. Calle;30451
Canar;La Troncal;Pancho Negro;30452
Canar;Suscal;Suscal;30750
