"Lugar_del_Accidente";"N_de_Muertos";"PromEdad";"PorcentH";"PorcenM";"Porcent2017";"Porcent2018";"Porcent2019";"Etiqueta"
"Azuay - Cuenca - Bellavista";5;20;0,4;0,6;0,2;0;0,8;"Operativos Regulares frecuentes"
"Azuay - Cuenca - Canaribamba";1;24;1;0;1;0;0;"Operativos Regulares frecuentes"
"Azuay - Cuenca - El Batan";6;37;0,83;0,17;0;0,17;0,83;"Operativos Regulares frecuentes"
"Azuay - Cuenca - El Vecino";4;52;0,5;0,5;0,5;0,25;0,25;"Operativos Regulares frecuentes"
"Azuay - Cuenca - Huaynacapac";91;43;0,75;0,25;0,29;0,43;0,27;"Operativo de Transito Constante"
"Azuay - Cuenca - Machangara";6;32;0,83;0,17;0,67;0;0,33;"Operativos Regulares frecuentes"
"Azuay - Cuenca - Monay";31;41;0,74;0,26;0,32;0,32;0,35;"Operativos Regulares frecuentes"
"Azuay - Cuenca - San Blas";3;22;1;0;0,67;0,33;0;"Operativos Regulares frecuentes"
"Azuay - Cuenca - San Sebastian";12;39;0,83;0,17;0,58;0,42;0;"Operativos Regulares frecuentes"
"Azuay - Cuenca - Sucre";11;45;0,73;0,27;0,36;0,64;0;"Operativos Regulares frecuentes"
"Azuay - Cuenca - Totoracocha";2;29;0,5;0,5;0;0;1;"Operativos Regulares frecuentes"
"Azuay - Cuenca - Yanuncay";3;46;0,67;0,33;0;0,67;0,33;"Operativos Regulares frecuentes"
"Azuay - Cuenca - Hermano Miguel";3;58;0,67;0,33;0,33;0;0,67;"Operativos Regulares frecuentes"
"Azuay - Cuenca - Cuenca";9;35;0,78;0,22;0,56;0,44;0;"Operativos Regulares frecuentes"
"Azuay - Cuenca - Banos";9;46;0,89;0,11;0,22;0,44;0,33;"Operativos Regulares frecuentes"
"Azuay - Cuenca - Cumbe";10;40;0,8;0,2;0,3;0,1;0,6;"Operativos Regulares frecuentes"
"Azuay - Cuenca - Chaucha";2;36;0,5;0,5;1;0;0;"Operativos Regulares frecuentes"
"Azuay - Cuenca - Chiquintad";2;50;1;0;1;0;0;"Operativos Regulares frecuentes"
"Azuay - Cuenca - Llacao";3;40;0,67;0,33;0,67;0;0,33;"Operativos Regulares frecuentes"
